epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,160.393,1.12711,0.6052,0.00999,0.97543,0.80645,0.96873,0.61986,1.3684,0.51611,0.01227,0.00828443,0.00828443,0.00828443
84,162.651,1.09499,0.68778,0.00831,0.91175,0.83871,0.95312,0.63615,1.21457,0.54305,0.01065,0.00824502,0.00824502,0.00824502
85,164.475,1.19172,0.65847,0.00995,0.99305,0.83871,0.96051,0.66176,1.11477,0.52225,0.00927,0.00820525,0.00820525,0.00820525
86,166.29,1.12856,0.81501,0.00901,0.9652,0.89481,0.96485,0.64562,1.31111,0.496,0.0116,0.00816514,0.00816514,0.00816514
87,168.454,1.14783,0.71642,0.01007,0.99407,0.93548,0.98896,0.68801,1.11931,0.42833,0.00934,0.00812468,0.00812468,0.00812468
88,170.45,1.13481,0.63495,0.00978,0.93539,0.93415,0.97868,0.68236,1.13855,0.47478,0.00965,0.00808389,0.00808389,0.00808389
89,172.754,1.12729,0.58775,0.0095,0.93718,0.96261,0.98452,0.71977,1.05684,0.37553,0.00883,0.00804277,0.00804277,0.00804277
90,174.52,1.23972,0.64988,0.0098,0.96661,0.93379,0.95145,0.64748,1.20021,0.50549,0.0107,0.00800131,0.00800131,0.00800131
91,176.406,1.1281,0.73181,0.00926,0.98829,0.93548,0.9873,0.70498,1.14336,0.42246,0.00986,0.00795954,0.00795954,0.00795954
92,178.51,1.10082,0.65058,0.00946,0.9823,0.96774,0.99406,0.71036,1.12431,0.42124,0.00937,0.00791744,0.00791744,0.00791744
93,180.377,1.05355,0.60981,0.00885,1,0.92832,0.9897,0.72169,1.08406,0.37536,0.00893,0.00787503,0.00787503,0.00787503
94,183.056,1.11319,0.70631,0.00921,0.87594,0.96774,0.96836,0.69476,1.0817,0.4763,0.00866,0.00783231,0.00783231,0.00783231
95,185.485,1.1075,0.64034,0.00865,0.91069,0.98703,0.98848,0.70581,1.10536,0.36489,0.00894,0.00778929,0.00778929,0.00778929
96,187.474,1.09064,0.57059,0.00942,0.93212,1,0.99221,0.70222,1.13344,0.3949,0.00938,0.00774596,0.00774596,0.00774596
97,189.643,1.12313,0.67613,0.01001,0.93271,0.96774,0.98664,0.68801,1.1664,0.39886,0.0096,0.00770234,0.00770234,0.00770234
